Round,Result,Player Profile,Opponent Profile,Record,Location
220,9,Renatoaraujo,Renatoaraujo,mortadela,2-0-0,rc_sao_paulo_11_01_2025
223,3,Summerbabe,Summerbabe,ariel_osses,2-0-0,rc_sao_paulo_11_01_2025
224,4,Summerbabe,Summerbabe,RenzoArana,2-0-0,rc_sao_paulo_11_01_2025
225,5,Summerbabe,Summerbabe,JuanVzlaHD,2-0-0,rc_sao_paulo_11_01_2025
226,6,Summerbabe,Summerbabe,Rafael_Martins,2-1-0,rc_sao_paulo_11_01_2025
227,7,Summerbabe,Summerbabe,brunoapolonio,2-0-0,rc_sao_paulo_11_01_2025
228,8,Summerbabe,Summerbabe,GabrielF,2-0-0,rc_sao_paulo_11_01_2025
230,1,brunoapolonio,brunoapolonio,Lippi,2-0-0,rc_sao_paulo_11_01_2025
232,3,brunoapolonio,brunoapolonio,Jose_Fernandez,2-1-0,rc_sao_paulo_11_01_2025
233,4,brunoapolonio,brunoapolonio,matheusponciano,2-0-0,rc_sao_paulo_11_01_2025
234,5,brunoapolonio,brunoapolonio,Renzoch,2-1-0,rc_sao_paulo_11_01_2025
237,8,brunoapolonio,brunoapolonio,InsideGames,2-1-0,rc_sao_paulo_11_01_2025
238,9,brunoapolonio,brunoapolonio,AxelRodriguez,2-0-0,rc_sao_paulo_11_01_2025
239,1,elpeludo,elpeludo,DavidPe,2-0-0,rc_sao_paulo_11_01_2025
240,2,elpeludo,elpeludo,tsiqueira,2-0-0,rc_sao_paulo_11_01_2025
243,5,elpeludo,elpeludo,ThiagoSaporito,2-0-0,rc_sao_paulo_11_01_2025
245,7,elpeludo,elpeludo,Deric_SNO,2-0-0,rc_sao_paulo_11_01_2025
246,8,elpeludo,elpeludo,MarceloRCavalcante,2-0-0,rc_sao_paulo_11_01_2025
247,9,elpeludo,elpeludo,csalles,2-1-0,rc_sao_paulo_11_01_2025
248,1,MisterConga,MisterConga,liond19,2-0-0,rc_sao_paulo_11_01_2025
249,2,MisterConga,MisterConga,frodo_jln,2-0-0,rc_sao_paulo_11_01_2025
250,3,MisterConga,MisterConga,TabularTony,2-1-0,rc_sao_paulo_11_01_2025
252,5,MisterConga,MisterConga,GabrielReis,2-1-0,rc_sao_paulo_11_01_2025
253,6,MisterConga,MisterConga,giorepe,2-0-0,rc_sao_paulo_11_01_2025
254,7,MisterConga,MisterConga,rxavier,2-1-0,rc_sao_paulo_11_01_2025
257,1,MtgGreven,MtgGreven,LeonardoLambiasi,2-0-0,rc_sao_paulo_11_01_2025
258,2,MtgGreven,MtgGreven,kabzz,2-1-0,rc_sao_paulo_11_01_2025
259,3,MtgGreven,MtgGreven,RaiderNunes,2-1-0,rc_sao_paulo_11_01_2025
260,4,MtgGreven,MtgGreven,MisterConga,2-0-0,rc_sao_paulo_11_01_2025
261,5,MtgGreven,MtgGreven,Choco,2-0-0,rc_sao_paulo_11_01_2025
264,8,MtgGreven,MtgGreven,OrtigosaMatheus,2-1-0,rc_sao_paulo_11_01_2025
266,1,giliad,giliad,Cachorrowo,2-1-0,rc_sao_paulo_11_01_2025
267,2,giliad,giliad,Fernando89,2-1-0,rc_sao_paulo_11_01_2025
269,4,giliad,giliad,jornalmatutino,2-1-0,rc_sao_paulo_11_01_2025
270,5,giliad,giliad,Dido,2-0-0,rc_sao_paulo_11_01_2025
